distrito,nombre_via,lat_inicio,lon_inicio,lat_fin,lon_fin,longitud_metros,tiempo_estimado_min,tiempo_normal,tiempo_punta,tiempo_noche
Miraflores,Avenida Arequipa,-12.1105917,-77.0304668,-12.1116194,-77.0302875,115.35,0.23,0.23,0.34,0.18
Miraflores,Avenida Arequipa,-12.1116194,-77.0302875,-12.1126445,-77.0301158,114.93,0.23,0.23,0.34,0.18
Miraflores,Calle Ayacucho,-12.1116194,-77.0302875,-12.1116159,-77.0301498,14.99,0.03,0.03,0.04,0.02
Miraflores,Calle Tarapacá,-12.1126445,-77.0301158,-12.1126684,-77.0313285,132.04,0.26,0.26,0.39,0.21
Miraflores,Avenida Arequipa,-12.1126445,-77.0301158,-12.1137042,-77.0299433,118.72,0.24,0.24,0.36,0.19
Miraflores,Avenida Arequipa,-12.1137042,-77.0299433,-12.1137763,-77.0299324,8.06,0.02,0.02,0.03,0.02
Miraflores,Avenida Angamos Oeste,-12.1137042,-77.0299433,-12.1137499,-77.0310144,116.71,0.23,0.23,0.34,0.18
Miraflores,Avenida Angamos Oeste,-12.1137763,-77.0299324,-12.1137747,-77.0297656,18.16,0.04,0.04,0.06,0.03
Miraflores,Avenida Arequipa,-12.1137763,-77.0299324,-12.1148553,-77.0297546,120.92,0.24,0.24,0.36,0.19
Miraflores,Calle Chiclayo,-12.1148553,-77.0297546,-12.1148539,-77.0307768,111.27,0.22,0.22,0.33,0.18
Miraflores,Avenida Arequipa,-12.1148553,-77.0297546,-12.1159231,-77.0295729,119.77,0.24,0.24,0.36,0.19
Miraflores,Avenida Arequipa,-12.1159231,-77.0295729,-12.1169545,-77.0293879,115.86,0.23,0.23,0.34,0.18
Miraflores,Calle Piura,-12.1159231,-77.0295729,-12.1159226,-77.0293963,19.22,0.04,0.04,0.06,0.03
Miraflores,Avenida Arequipa,-12.1169545,-77.0293879,-12.1179957,-77.0292057,116.88,0.23,0.23,0.34,0.18
Miraflores,Calle Teniente Enrique Palacios,-12.1169545,-77.0293879,-12.116954,-77.030338,103.42,0.21,0.21,0.32,0.17
Miraflores,Avenida Arequipa,-12.1179957,-77.0292057,-12.1190049,-77.0291598,111.75,0.22,0.22,0.33,0.18
Miraflores,Calle General Pershing,-12.1179957,-77.0292057,-12.117889,-77.029064,19.42,0.04,0.04,0.06,0.03
Miraflores,Avenida José Larco,-12.1313917,-77.029886,-12.1308061,-77.0298424,64.95,0.13,0.13,0.2,0.1
Miraflores,Avenida José Larco,-12.1308061,-77.0298424,-12.1301537,-77.0297892,72.4,0.14,0.14,0.21,0.11
Miraflores,Calle Comandante Aristides Aljovín,-12.1308061,-77.0298424,-12.1311033,-77.0290673,90.55,0.18,0.18,0.27,0.14
Miraflores,Comandante Aristides Aljovin,-12.1308061,-77.0298424,-12.1307753,-77.0299315,10.28,0.02,0.02,0.03,0.02
Miraflores,Avenida José Larco,-12.1301537,-77.0297892,-12.1298024,-77.0297564,39.03,0.08,0.08,0.12,0.06
Miraflores,Calle Juan Fanning,-12.1298024,-77.0297564,-12.1297683,-77.029846,10.46,0.02,0.02,0.03,0.02
Miraflores,Avenida José Larco,-12.1298024,-77.0297564,-12.1286964,-77.029655,122.85,0.25,0.25,0.38,0.2
Miraflores,Calle José Gonzales,-12.1286964,-77.029655,-12.1289685,-77.0289322,84.24,0.17,0.17,0.26,0.14
Miraflores,Avenida José Larco,-12.1286964,-77.029655,-12.1278111,-77.0295662,98.41,0.2,0.2,0.3,0.16
Miraflores,Calle Manco Cápac,-12.1278111,-77.0295662,-12.1283842,-77.0281427,167.42,0.33,0.33,0.5,0.26
Miraflores,Calle Manco Cápac,-12.1278111,-77.0295662,-12.1277559,-77.0296563,11.55,0.02,0.02,0.03,0.02
Miraflores,Avenida José Larco,-12.1278111,-77.0295662,-12.1268706,-77.0295303,104.11,0.21,0.21,0.32,0.17
Miraflores,Avenida José Larco,-12.1268706,-77.0295303,-12.1259848,-77.029461,98.28,0.2,0.2,0.3,0.16
Miraflores,Avenida 28 de Julio,-12.1268706,-77.0295303,-12.1268231,-77.0296553,14.59,0.03,0.03,0.04,0.02
Miraflores,Avenida José Larco,-12.1268706,-77.0295303,-12.1269979,-77.0295916,15.58,0.03,0.03,0.04,0.02
Miraflores,Avenida José Larco,-12.1259848,-77.029461,-12.1254635,-77.0294338,57.74,0.12,0.12,0.18,0.1
Miraflores,Calle San Martín,-12.1259848,-77.029461,-12.1265595,-77.0280466,166.57,0.33,0.33,0.5,0.26
Miraflores,Avenida José Larco,-12.1254635,-77.0294338,-12.1245531,-77.0293907,100.82,0.2,0.2,0.3,0.16
Miraflores,Malecón de la Reserva,-12.1291544,-77.0346665,-12.1299425,-77.0341062,106.4,0.21,0.21,0.32,0.17
Miraflores,Calle Porta,-12.1299425,-77.0341062,-12.1294593,-77.033873,59.17,0.12,0.12,0.18,0.1
Miraflores,Malecón de la Reserva,-12.1299425,-77.0341062,-12.1301033,-77.0330102,120.62,0.24,0.24,0.36,0.19
Miraflores,Malecón de la Reserva,-12.1301033,-77.0330102,-12.1301501,-77.0329204,11.06,0.02,0.02,0.03,0.02
Miraflores,Calle Comandante O'Donavan,-12.1301501,-77.0329204,-12.1300335,-77.0318652,115.58,0.23,0.23,0.34,0.18
Miraflores,Malecón de la Reserva,-12.1301501,-77.0329204,-12.1309858,-77.0321617,123.96,0.25,0.25,0.38,0.2
Miraflores,Malecón de la Reserva,-12.1309858,-77.0321617,-12.130841,-77.0310648,120.47,0.24,0.24,0.36,0.19
Miraflores,Malecón de la Reserva,-12.130841,-77.0310648,-12.131467,-77.0300508,130.3,0.26,0.26,0.39,0.21
Miraflores,Avenida Armendariz,-12.1321849,-77.0291248,-12.1326694,-77.0284451,91.36,0.18,0.18,0.27,0.14
Miraflores,Malecón de la Reserva,-12.1321849,-77.0291248,-12.1337454,-77.0285392,184.02,0.37,0.37,0.55,0.3
Miraflores,Avenida Alfredo Benavides,-12.1241355,-77.0316671,-12.1241826,-77.0314536,23.82,0.05,0.05,0.08,0.04
Miraflores,Calle Porta,-12.1241355,-77.0316671,-12.1225533,-77.0309643,191.02,0.38,0.38,0.57,0.3
